Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta058,50,best,transpose,srz,2,5.3074,0.0479
ta058,50,best,transpose,srz,3,5.3074,0.0432
ta058,50,best,transpose,srz,4,5.3074,0.0453
ta058,50,best,transpose,srz,5,5.3074,0.0449
ta058,50,best,transpose,srz,6,5.3074,0.0484
ta058,50,best,transpose,srz,7,5.3074,0.0454
ta058,50,best,transpose,srz,8,5.3074,0.0483
ta058,50,best,transpose,srz,9,5.3074,0.0477
ta058,50,best,transpose,srz,10,5.3074,0.0459
ta058,50,first,insert,srz,1,5.3074,0.0987
ta058,50,first,insert,srz,2,5.3074,0.0975
ta058,50,first,insert,srz,3,5.3074,0.093
ta058,50,first,insert,srz,4,5.176,0.0944
ta058,50,first,insert,srz,5,5.3074,0.0948
ta058,50,first,insert,srz,6,5.3074,0.0978
ta058,50,first,insert,srz,7,5.3074,0.1058
ta058,50,first,insert,srz,8,5.3074,0.1021
ta058,50,first,insert,srz,9,5.3074,0.0961
ta058,50,first,insert,srz,10,5.3074,0.0921
ta058,50,first,insert,random,1,13.9278,0.1089
ta058,50,first,insert,random,2,10.4752,0.1303
ta058,50,first,insert,random,3,11.899,0.2465
ta058,50,first,insert,random,4,13.0714,0.1514
ta058,50,first,insert,random,5,16.0072,0.1451
ta058,50,first,insert,random,6,12.3431,0.0824
ta058,50,first,insert,random,7,17.2587,0.1267
ta058,50,first,insert,random,8,9.3461,0.1648
ta058,50,first,insert,random,9,11.9023,0.1119
ta058,50,first,insert,random,10,13.2371,0.1309
ta058,50,best,exchange,srz,1,5.3074,0.1009
ta058,50,best,exchange,srz,2,5.3074,0.0909
ta058,50,best,exchange,srz,3,5.3074,0.0901
ta058,50,best,exchange,srz,4,5.3074,0.0915
ta058,50,best,exchange,srz,5,5.3074,0.0997
ta058,50,best,exchange,srz,6,5.3074,0.0949
ta058,50,best,exchange,srz,7,5.3074,0.0928
ta058,50,best,exchange,srz,8,5.3074,0.0882
ta058,50,best,exchange,srz,9,5.3074,0.0882
ta058,50,best,exchange,srz,10,5.3074,0.0863
ta086,100,first,insert,random,1,12.1367,2.241
ta086,100,first,insert,random,2,21.6285,0.6747
ta086,100,first,insert,random,3,14.0814,0.8374
ta086,100,first,insert,random,4,12.6773,0.8125
ta086,100,first,insert,random,5,13.3028,1.6351
ta086,100,first,insert,random,6,13.6727,2.2618
ta086,100,first,insert,random,7,18.7696,0.9262
ta086,100,first,insert,random,8,18.1846,0.5748
ta086,100,first,insert,random,9,16.7351,1.5818
ta086,100,first,insert,random,10,23.8401,0.7728
ta058,50,best,exchange,random,1,25.0112,0.2355
ta058,50,best,exchange,random,2,23.367,0.1168
ta058,50,best,exchange,random,3,26.8057,0.1592
ta058,50,best,exchange,random,4,21.9236,0.1591
ta058,50,best,exchange,random,5,29.3137,0.104
ta058,50,best,exchange,random,6,25.9762,0.1584
ta058,50,best,exchange,random,7,23.336,0.1558
ta058,50,best,exchange,random,8,28.8099,0.1594
ta058,50,best,exchange,random,9,26.8383,0.1614
ta058,50,best,exchange,random,10,20.4892,0.3624
ta058,50,best,insert,random,1,25.8676,0.1586
ta058,50,best,insert,random,2,25.4537,0.1506
ta058,50,best,insert,random,3,20.9758,0.1555
ta058,50,best,insert,random,4,25.6554,0.153
ta058,50,best,insert,random,5,22.989,0.1513
ta058,50,best,insert,random,6,28.1274,0.1491
ta058,50,best,insert,random,7,23.5891,0.1538
ta058,50,best,insert,random,8,26.6285,0.15
ta058,50,best,insert,random,9,23.6291,0.1487
ta058,50,best,insert,random,10,27.3886,0.151
ta058,50,best,insert,srz,1,5.3074,0.1045
ta058,50,best,insert,srz,2,5.3074,0.0918
ta058,50,best,insert,srz,3,5.3074,0.0933
ta058,50,best,insert,srz,4,5.3074,0.1001
ta058,50,best,insert,srz,5,5.3074,0.0966
ta058,50,best,insert,srz,6,5.3074,0.0926
ta058,50,best,insert,srz,7,5.3074,0.0988
ta058,50,best,insert,srz,8,5.3074,0.0961
ta058,50,best,insert,srz,9,5.3074,0.0956
ta058,50,best,insert,srz,10,5.3074,0.0922
ta056,50,first,exchange,srz,1,6.6741,0.108
ta056,50,first,exchange,srz,2,6.6741,0.0922
ta056,50,first,exchange,srz,3,6.6741,0.0955
ta056,50,first,exchange,srz,4,6.6741,0.0988
ta056,50,first,exchange,srz,5,6.6741,0.0944
ta056,50,first,exchange,srz,6,6.6741,0.0906
ta056,50,first,exchange,srz,7,6.6741,0.0989
ta056,50,first,exchange,srz,8,6.6741,0.0957
ta056,50,first,exchange,srz,9,6.6741,0.0911
ta056,50,first,exchange,srz,10,6.6741,0.0928
ta056,50,first,transpose,srz,1,6.6185,0.1464
ta056,50,first,transpose,srz,2,6.6185,0.1395
ta056,50,first,transpose,srz,3,7.3781,0.2143
ta056,50,first,transpose,srz,4,6.6741,0.0968
ta056,50,first,transpose,srz,5,6.6185,0.1835
ta056,50,first,transpose,srz,6,6.6343,0.1551
ta056,50,first,transpose,srz,7,6.6741,0.1005
ta056,50,first,transpose,srz,8,6.6591,0.1051
ta056,50,first,transpose,srz,9,6.6185,0.1504
ta056,50,first,transpose,srz,10,6.6741,0.0919
ta056,50,first,transpose,random,1,19.2891,0.2236
ta056,50,first,transpose,random,2,26.7577,0.0576
ta056,50,first,transpose,random,3,25.1414,0.0912
ta056,50,first,transpose,random,4,16.1022,0.2609
ta056,50,first,transpose,random,5,14.8691,0.1981
ta056,50,first,transpose,random,6,19.4077,0.1749
ta056,50,first,transpose,random,7,20.2602,0.1866
ta056,50,first,transpose,random,8,12.7652,0.1726
ta056,50,first,transpose,random,9,21.8002,0.0868
ta056,50,first,transpose,random,10,22.6618,0.1127
ta056,50,best,transpose,random,1,25.0883,0.012
ta056,50,best,transpose,random,2,23.6271,0.0244
ta056,50,best,transpose,random,3,31.7798,0.0153
ta056,50,best,transpose,random,4,20.2329,0.0189
ta056,50,best,transpose,random,5,25.2998,0.018
ta056,50,best,transpose,random,6,20.9145,0.0099
ta056,50,best,transpose,random,7,21.4096,0.0056
ta056,50,best,transpose,random,8,25.3247,0.0076
ta056,50,best,transpose,random,9,25.6249,0.0097
ta056,50,best,transpose,random,10,26.7693,0.017
ta056,50,first,exchange,random,1,10.4357,0.186
ta056,50,first,exchange,random,2,10.4705,0.2033
ta056,50,first,exchange,random,3,11.6937,0.1137
